position, player, projection, salary
QB,Wilson Russell,34.24,8300
QB,Manning Peyton,32.96,9800
QB,Davis Austin,26,7200
QB,Cutler Jay,23.76,7700
QB,Hoyer Brian,22.88,5800
QB,Rivers Philip,22.82,8900
QB,Luck Andrew,21.68,10000
QB,Brady Tom,20.98,7900
QB,Romo Tony,19.96,7500
QB,Brees Drew,19.74,9100
QB,Cousins Kirk,19.72,7600
QB,Rodgers Aaron,18.24,9700
QB,Dalton Andy,17.76,7700
QB,Glennon Mike,16.96,6100
QB,Locker Jake,16.56,6800
QB,Newton Cam,16.1,7600
QB,Manning Eli,15.7,7300
QB,Whitehurst Charlie,15.66,5400
QB,Ryan Matt,15.64,8500
QB,Orton Kyle,15.32,5000
QB,Smith Alex,14.6,7000
QB,Foles Nick,14.58,7900
QB,Ponder Christian,14.38,5400
QB,Kaepernick Colin,13.84,7800
QB,Roethlisberger Ben,12.72,8300
QB,Stafford Matthew,12.64,8800
QB,Flacco Joe,8.4,7500
QB,Thomas Logan,7.24,5000
QB,Bortles Blake,7.04,6400
QB,Fitzpatrick Ryan,5.46,6500
QB,Stanton Drew,4.72,5900
QB,Vick Michael,3.28,6500
RB,Oliver Branden,32.2,5000
RB,Foster Arian,30.2,7900
RB,Ellington Andre,28.4,6800
RB,Thomas Pierre,27.2,6400
RB,Lacy Eddie,26.7,7600
RB,Forte Matt,26.6,8700
RB,Murray DeMarco,20.2,9000
RB,Lynch Marshawn,20.2,9100
RB,Forsett Justin,19.2,6000
RB,Ridley Stevan,17.3,6100
RB,Jackson Fred,16.2,6200
RB,Robinson Khiry,16.2,4900
RB,Smith Antone,16,5300
RB,Jackson Steven,15.9,7000
RB,Williams Andre,15.3,5300
RB,Cunningham Benny,14.6,4500
RB,Bell Le'Veon,14.3,8600
RB,Tate Ben,12.6,6200
RB,Vereen Shane,12.3,6200
RB,Rainey Bobby,11.7,5800
RB,Gore Frank,11.3,7600
RB,Freeman Devonta,10.7,5000
RB,Cadet Travaris,9.4,4500
RB,Charles Jamaal,8.9,8400
RB,Martin Doug,8.9,7100
RB,McCoy LeSean,8.6,8300
RB,Bradshaw Ahmad,8.5,6600
RB,Hill Jeremy,8.4,5000
RB,Helu Roy,8.3,5200
RB,Bernard Giovani,8.2,8800
RB,Thomas De'Anthony,8.2,4500
RB,Jennings Rashad,8.2,7200
RB,Stacy Zac,7.8,7700
RB,Thompson Juwan,7.5,4500
RB,Richardson Trent,6.7,6400
RB,Hillman Ronnie,6.4,4500
