position, player, projection, salary,week
QB,Newton Cam,35.06,7900,6
QB,Flacco Joe,32.24,7000,6
QB,Brady Tom,30.74,7900,6
QB,Kaepernick Colin,29.42,7800,6
QB,Carr Derek,26.48,5700,6
QB,Rodgers Aaron,25.96,9600,6
QB,Rivers Philip,25.82,9100,6
QB,Luck Andrew,25.6,9900,6
QB,Cutler Jay,22.34,8500,6
QB,Manning Peyton,21.48,10200,6
QB,Dalton Andy,21.42,7700,6
QB,Tannehill Ryan,20.66,7000,6
QB,Bortles Blake,20.24,6400,6
QB,Glennon Mike,19.56,6400,6
QB,Cousins Kirk,19.16,7600,6
QB,Orton Kyle,18.96,6500,6
QB,Palmer Carson,17.7,6900,6
QB,Foles Nick,16.42,8100,6
QB,Romo Tony,15.9,7400,6
QB,Smith Geno,15.7,6900,6
QB,Ryan Matt,13.74,8700,6
QB,Roethlisberger Ben,12.82,7600,6
QB,Hoyer Brian,12.68,6500,6
QB,Davis Austin,12.34,7800,6
QB,Stafford Matthew,11.5,8600,6
QB,Wilson Russell,11.24,8400,6
QB,Fitzpatrick Ryan,10.98,6400,6
QB,Whitehurst Charlie,9.42,6700,6
QB,Manning Eli,6.34,7200,6
QB,Bridgewater Teddy,5.62,5900,6
QB,Nassib Ryan,2.4,5000,6
QB,Manziel Johnny,0,5500,6
QB,Gradkowski Bruce,0,5000,6
QB,Taylor Tyrod,-0.3,5000,6
RB,Forte Matt,32.7,9000,6
RB,Foster Arian,27.6,8900,6
RB,Bernard Giovani,23.7,8700,6
RB,Murray DeMarco,23.6,9300,6
RB,Oliver Branden,20.4,6200,6
RB,Tate Ben,19.8,6800,6
RB,Bell Joique,16.7,6500,6
RB,Riddick Theo,16.6,4500,6
RB,McCoy LeSean,16.4,8000,6
RB,Smith Antone,14.9,5800,6
RB,Miller Lamar,14.8,6900,6
RB,Bradshaw Ahmad,13.4,6200,6
RB,Hillman Ronnie,13.1,5900,6
RB,Bell Le'Veon,12.5,8600,6
RB,Ellington Andre,12.3,7200,6
RB,Jackson Fred,12.3,6800,6
RB,Whittaker Fozzy,12.2,4500,6
RB,Crowell Isaiah,11.7,5200,6
RB,Hill Jeremy,11.5,5000,6
RB,McKinnon Jerick,11.2,5900,6
RB,Forsett Justin,11.1,6300,6
RB,Cunningham Benny,10.3,5600,6
RB,Richardson Trent,10.1,6000,6
RB,Sproles Darren,9.9,6100,6
RB,McFadden Darren,9.6,5700,6
RB,Pierce Bernard,9.2,5200,6
RB,McCluster Dexter,8.8,4500,6
RB,Johnson Storm,8.2,4800,6
RB,Helu Roy,7.6,5400,6
RB,Sankey Bishop,7.3,5600,6
RB,Lynch Marshawn,6.7,9200,6
RB,Hillis Peyton,6.7,4600,6
RB,Dunbar Lance,6.4,4700,6
RB,Battle Jackie,6.1,4500,6
RB,Morris Alfred,6,7600,6
RB,Williams Andre,5.8,6300,6
RB,Mason Tre,5.7,5500,6
RB,Taliaferro Lorenzo,5.7,5500,6
RB,Martin Doug,5.3,6900,6
RB,Randle Joseph,5.2,4600,6
RB,Starks James,5.2,6300,6
RB,Robinson Denard,5.1,5500,6
RB,Jones-Drew Maurice,4.5,5600,6
RB,Stacy Zac,4.4,7200,6
RB,Thompson Juwan,4.3,5700,6
RB,Rainey Bobby,4.2,6000,6
RB,Freeman Devonta,4.1,5300,6
RB,Lacy Eddie,4,8100,6
RB,Juszczyk Kyle,3.9,5200,6
RB,Gore Frank,3.8,7200,6
RB,Ridley Stevan,3.4,6300,6
RB,Brown Ronnie,3.1,4900,6
RB,Ta'ufo'ou Will,3,4500,6
RB,Archer Dri,2.9,4500,6
RB,Blount LeGarrette,2.7,4800,6
RB,Ivory Chris,2.6,5600,6
RB,Jackson Steven,2.5,6700,6
RB,Reaves Darrin,2.4,5400,6
RB,Moreno Knowshon,2.3,6700,6
RB,Dixon Anthony,2.3,4500,6
RB,Blue Alfred,2.2,5300,6
RB,Miller Bruce,2,4500,6
RB,Hyde Carlos,2,5800,6
RB,Carey Ka'Deem,1.9,4600,6
RB,Reece Marcel,1.8,4600,6
RB,Asiata Matt,1.8,6600,6
RB,Washington Leon,1.7,4500,6
RB,Winn George,1.6,5100,6
RB,Johnson Chris,1.6,6800,6
RB,Kuhn John,1.5,4500,6
RB,Taylor Stepfan,1.5,4900,6
RB,Rodgers Jacquizz,1.4,4700,6
RB,Vereen Shane,1.2,6200,6
RB,Hughes Robert,1.2,4500,6
RB,Bolden Brandon,1,4500,6
RB,Turbin Robert,1,4500,6
RB,Olawale Jamize,1,4500,6
