position, player, projection, salary,week
QB,Ryan Matt,31.42,8100,1
QB,Stafford Matthew,30.04,9300,1
QB,Luck Andrew,28.7,9200,1
QB,Manning Peyton,22.46,10200,1
QB,Palmer Carson,21.06,6900,1
QB,Locker Jake,20.04,6600,1
QB,Cutler Jay,19.96,8000,1
QB,Wilson Russell,18.54,8100,1
QB,Roethlisberger Ben,18.4,7800,1
QB,Dalton Andy,18.34,7800,1
QB,Anderson Derek,18.2,5000,1
QB,Manuel E.J.,17.82,6500,1
QB,Flacco Joe,17.5,6600,1
QB,Henne Chad,17.44,5600,1
QB,Kaepernick Colin,17.14,8500,1
QB,Brees Drew,16.52,9700,1
QB,McCown Josh,16.02,6200,1
QB,Foles Nick,15.88,8500,1
QB,Cassel Matt,14.5,5400,1
QB,Carr Derek,13.94,5400,1
QB,Tannehill Ryan,13.92,6500,1
QB,Smith Geno,13.64,7000,1
QB,Rivers Philip,13.52,8100,1
QB,Fitzpatrick Ryan,13.24,6100,1
QB,Hoyer Brian,13,5600,1
QB,Smith Alex,12.68,6900,1
QB,Romo Tony,12.24,8300,1
QB,Rodgers Aaron,10.56,9600,1
QB,Brady Tom,10.26,9100,1
QB,Griffin III Robert,8.88,8400,1
QB,Manning Eli,8.52,6600,1
QB,Davis Austin,6.68,5000,1
QB,Hill Shaun,2.14,5000,1
QB,Yates T.J.,0,5000,1
QB,McCown Luke,0,5000,1
QB,Vick Michael,0,7600,1
RB,Bell Le'Veon,28.7,8300,1
RB,Lynch Marshawn,24.9,8800,1
RB,Forte Matt,20.9,9300,1
RB,Murray DeMarco,19.8,8800,1
RB,Moreno Knowshon,19.4,6100,1
RB,Ingram Mark,18.6,5200,1
RB,Jennings Rashad,17.6,6700,1
RB,Johnson Chris,17.6,6500,1
RB,Forsett Justin,16.9,4900,1
RB,Sproles Darren,16.5,5900,1
RB,Ivory Chris,16.2,5300,1
RB,Vereen Shane,15.6,6600,1
RB,Ball Montee,15.3,8000,1
RB,Crowell Isaiah,15.2,4500,1
RB,McCoy LeSean,14.5,9400,1
RB,Bernard Giovani,14,8000,1
RB,Spiller C.J.,13.9,7600,1
RB,Miller Lamar,13.8,6300,1
RB,Mathews Ryan,13,6800,1
RB,Smith Antone,12.6,4500,1
RB,Bell Joique,12.1,6800,1
RB,Thomas Pierre,11.9,6600,1
RB,Foster Arian,11,8800,1
RB,Bradshaw Ahmad,11,5200,1
RB,Hyde Carlos,11,6200,1
RB,Peterson Adrian,10.3,9300,1
RB,Taylor Stepfan,10.1,4900,1
RB,Rodgers Jacquizz,10,4700,1
RB,West Terrance,10,5300,1
RB,Bush Reggie,9.4,7800,1
RB,Morris Alfred,9.1,7700,1
RB,Jackson Fred,8.9,5800,1
RB,Robinson Khiry,8.8,4800,1
RB,Ellington Andre,8.5,6800,1
RB,Coleman Derrick,8,4500,1
RB,Williams DeAngelo,7.2,5900,1
RB,Cunningham Benny,7.1,4600,1
RB,Greene Shonn,7.1,5100,1
RB,Helu Roy,7.1,300,1
RB,Rainey Bobby,7,4800,1
RB,Young Darrel,6.7,4500,1
RB,Gerhart Toby,6.7,6100,1
RB,Richardson Trent,6.6,6400,1
RB,Blount LeGarrette,6.6,4900,1
RB,Gore Frank,6.6,7200,1
RB,Kuhn John,6.2,4500,1
RB,Lacy Eddie,6,9000,1
RB,Dixon Anthony,6,4500,1
RB,Starks James,5.8,5300,1
RB,Jackson Steven,5.7,6900,1
RB,Stacy Zac,5.6,8300,1
RB,Charles Jamaal,5.4,9800,1
RB,Stewart Jonathan,5.2,4600,1
RB,McCluster Dexter,5.1,4700,1
RB,Washington Leon,4.4,4500,1
RB,Freeman Devonta,4.3,5700,1
RB,Tate Ben,4.1,400,1
RB,Ridley Stevan,3.8,6600,1
RB,Dwyer Jonathan,3.8,4900,1
RB,Dunbar Lance,3.6,4700,1
RB,Jones-Drew Maurice,3.3,6200,1
RB,Anderson C.J.,2.7,5200,1
