position, player, projection, salary, week
QB,Wilson Russell,36.36,8600,16
QB,Tannehill Ryan,30.94,7900,16
QB,Kaepernick Colin,27.66,6700,16
QB,Romo Tony,27.52,8400,16
QB,Manning Eli,27.34,7700,16
QB,Rivers Philip,27.24,8000,16
QB,Newton Cam,23.34,8100,16
QB,Orton Kyle,23.16,7200,16
QB,Sanchez Mark,22.16,7500,16
QB,Bridgewater Teddy,18.66,7400,16
QB,Hill Shaun,18.6,6500,16
QB,Ryan Matt,17.58,8700,16
QB,Whitehurst Charlie,16.68,6500,16
QB,Carr Derek,16.56,6600,16
QB,Manning Peyton,16.44,9600,16
QB,Dalton Andy,15.34,7900,16
QB,Clausen Jimmy,15.14,5000,16
QB,Rodgers Aaron,14.72,10000,16
QB,Smith Alex,13.84,7400,16
QB,Bortles Blake,13.6,6200,16
QB,Brees Drew,13.32,9100,16
QB,Flacco Joe,13.3,8100,16
QB,Roethlisberger Ben,12.4,8500,16
QB,Smith Geno,12.3,6500,16
QB,Brady Tom,11.28,9700,16
QB,Hoyer Brian,10.26,6400,16
QB,Griffin III Robert,8.9,6900,16
QB,Keenum Case,8.3,5000,16
QB,Stafford Matthew,7.92,8200,16
QB,Lindley Ryan,7.64,6100,16
QB,Hasselbeck Matt,7.04,5000,16
QB,Weeden Brandon,5.72,5000,16
QB,McCown Josh,4.88,7000,16
QB,Luck Andrew,2.36,9900,16
QB,Manziel Johnny,1.58,6600,16
QB,Thomas Logan,0,5000,16
QB,Jackson Tarvaris,0,5000,16
QB,Schaub Matt,0,5000,16
QB,McCown Luke,0,5000,16
QB,Webb Joe,0,5000,16
QB,Flynn Matt,-0.3,5000,16
RB,Anderson C.J.,23.8,7800,16
RB,Miller Lamar,23.5,6300,16
RB,Lynch Marshawn,23.3,8600,16
RB,Asiata Matt,23.2,6100,16
RB,Gore Frank,21.8,5400,16
RB,Stewart Jonathan,19.9,6200,16
RB,McCoy LeSean,19.1,8100,16
RB,Bush Reggie,18.8,5400,16
RB,Hill Jeremy,18.7,7300,16
RB,Forte Matt,18.5,9000,16
RB,Lacy Eddie,16.9,8600,16
RB,Washington Leon,16.8,4700,16
RB,Foster Arian,16.6,8800,16
RB,Bernard Giovani,16.6,6800,16
RB,Freeman Devonta,15.9,4600,16
RB,Williams Damien,15.8,4500,16
RB,Bell Joique,15.7,7300,16
RB,Mason Tre,14.8,6500,16
RB,Jackson Fred,14.8,6700,16
RB,Todman Jordan,14.6,4500,16
RB,Morris Alfred,14.3,6500,16
RB,Bell Le'Veon,13.7,9700,16
RB,Young Darrel,13,4500,16
RB,Ingram Mark,13,7400,16
RB,Gerhart Toby,12.5,4700,16
RB,Murray Latavius,12.3,6400,16
RB,Murray DeMarco,11.8,9300,16
RB,Williams Andre,11,6700,16
RB,Darkwa Orleans,10.8,4500,16
RB,Sproles Darren,9.7,5300,16
RB,Oliver Branden,9.6,5200,16
RB,Charles Jamaal,8.2,8900,16
RB,Thomas De'Anthony,7.1,4900,16
RB,Olawale Jamize,6.6,4500,16
RB,Gray Jonas,6.5,5400,16
RB,McFadden Darren,5.9,4700,16
RB,Sankey Bishop,5.8,4900,16
RB,Vereen Shane,5.5,5500,16
RB,Crowell Isaiah,5.5,6300,16
RB,Herron Dan,5.5,6300,16
RB,Taylor Stepfan,5.4,5300,16
RB,Ivory Chris,5.3,5300,16
RB,Forsett Justin,5.2,7400,16
RB,Brown Ronnie,4.7,4500,16
RB,Starks James,4.5,5500,16
RB,Powell Bilal,4.4,4500,16
RB,Sims Charles,4.4,5200,16
RB,Banyard Joe,4.2,4500,16
RB,Johnson Chris,3.8,5300,16
RB,Turbin Robert,3.8,4500,16
RB,Rodgers Jacquizz,3.7,4800,16
RB,Thomas Pierre,3.4,5700,16
RB,Smith Alfonso,3.3,4500,16
RB,Conner John,3.3,4800,16
RB,Bolden Brandon,3.2,4500,16
RB,Reece Marcel,3,5100,16
RB,Randle Joseph,2.9,4900,16
RB,Michael Christine,2.8,4500,16
RB,Jackson Steven,2.8,6200,16
RB,Greene Shonn,2.8,4600,16
RB,Dunbar Lance,2.4,4500,16
RB,Kuhn John,2.2,4600,16
RB,Brown Donald,2.1,4900,16
RB,Thompson Chris,2,5600,16
RB,Riddick Theo,2,4500,16
RB,Richardson Trent,1.9,5200,16
RB,Tolbert Mike,1.9,4500,16
RB,Robinson Khiry,1.7,4900,16
RB,Martin Doug,1.7,5500,16
RB,Davis Knile,1.6,5900,16
RB,Grice Marion,1.4,4800,16
RB,Miller Bruce,1.2,4900,16
RB,Cunningham Benny,0.8,4900,16
RB,DiMarco Patrick,0.8,4500,16
RB,Dixon Anthony,0.7,4800,16
RB,Stacy Zac,0.6,4800,16
RB,Blue Alfred,0.6,5100,16
RB,Winn George,0.5,4500,16
RB,James LaMichael,0.5,4500,16
RB,Whittaker Fozzy,0.5,5100,16
RB,Redd Silas,0.4,5300,16
RB,Williams Kerwynn,0.4,5400,16
RB,Collins Jed,0.3,4600,16
RB,Johnson Storm,0.3,4900,16
RB,Thompson Juwan,0.2,4800,16
RB,Grimes Jonathan,0.2,4500,16
RB,Develin James,0,4500,16
RB,Burkhead Rex,0,4900,16
RB,Agnew Ray,0,4500,16
RB,Johnson Will,0,4500,16
RB,Watts Trey,0,4500,16
RB,Polk Chris,0,5000,16
RB,Ta'ufo'ou Will,0,4500,16
RB,Stewart Jeremy,0,4500,16
RB,Reynolds Chase,0,4500,16
RB,Lorig Erik,0,4500,16
RB,Perry Senorise,0,4500,16
RB,Andrews Antonio,0,4500,16
RB,Sherman Anthony,0,4500,16
RB,Rainey Bobby,0,4800,16
RB,Archer Dri,0,4500,16
RB,Harris DuJuan,0,4500,16
RB,Felton Jerome,0,4600,16
