position, player, projection, salary
QB,Luck Andrew,32.3,9500
QB,Cousins Kirk,28.58,6800
QB,Foles Nick,26.2,8400
QB,Ryan Matt,23.64,8700
QB,Wilson Russell,23.52,8300
QB,Davis Austin,22.98,6400
QB,Fitzpatrick Ryan,21.96,6400
QB,Manning Peyton,21.02,9900
QB,Brees Drew,19.52,9100
QB,Stanton Drew,19.36,5900
QB,Rivers Philip,19.34,8200
QB,Kaepernick Colin,19.2,8500
QB,Smith Alex,19.14,7000
QB,Bortles Blake,17.92,5400
QB,Manning Eli,17.26,6900
QB,Romo Tony,17.08,7600
QB,Smith Geno,16.64,7400
QB,Cutler Jay,16.4,8100
QB,Hoyer Brian,16,5800
QB,Roethlisberger Ben,15.94,7700
QB,Manuel E.J.,15.92,6700
QB,Dalton Andy,14.36,7900
QB,Tannehill Ryan,13.1,6500
QB,Newton Cam,12.7,8600
QB,Brady Tom,12.66,8100
QB,Flacco Joe,12.28,7200
QB,Glennon Mike,10.74,5500
QB,Rodgers Aaron,10.48,9800
QB,Locker Jake,10.4,7100
QB,Bridgewater Teddy,8.7,5500
QB,Anderson Derek,7.2,5800
QB,Stafford Matthew,6.64,9000
QB,Carr Derek,5.96,6000
QB,Cassel Matt,2.62,6200
QB,Yates T.J.,1.56,5000
QB,Henne Chad,1.32,6200
QB,McCown Josh,1.32,6800
QB,Hasselbeck Matt,0.7,5000
QB,Vick Michael,0.3,6500
QB,Manziel Johnny,0,5500
QB,McCown Luke,0,5000
QB,Campbell Jason,-0.12,5000
QB,Gradkowski Bruce,-0.2,5000
RB,Lynch Marshawn,26.3,8900
RB,Jennings Rashad,23.6,6400
RB,McKnight Joe,21.7,4500
RB,Jackson Fred,21.2,5600
RB,Murray DeMarco,19.1,8700
RB,Bush Reggie,18.9,7300
RB,Bernard Giovani,17.9,8500
RB,Blount LeGarrette,17.8,4600
RB,Davis Knile,17.2,7000
RB,Bell Le'Veon,16.7,8800
RB,Bradshaw Ahmad,15.3,5200
RB,Miller Lamar,15.2,6600
RB,Taliaferro Lorenzo,15.1,4500
RB,Stacy Zac,14.6,7500
RB,Juszczyk Kyle,12.9,4500
RB,Thomas Pierre,12.6,6300
RB,Helu Roy,12.1,5000
RB,Ivory Chris,11.6,5800
RB,Crowell Isaiah,11.5,5100
RB,Brown Donald,11.4,6200
RB,Jackson Steven,11.4,6700
RB,West Terrance,11.1,5800
RB,Forte Matt,10.6,8400
RB,Rainey Bobby,10,5700
RB,Hill Jeremy,9.9,4900
RB,Richardson Trent,9.5,6200
RB,Blue Alfred,9.3,4500
RB,Greene Shonn,9.3,4900
RB,Ellington Andre,9,6700
RB,Smith Antone,9,4600
RB,Asiata Matt,8.6,6200
RB,Forsett Justin,8.5,5200
RB,McFadden Darren,8.5,5600
RB,Hyde Carlos,8.1,6000
RB,Gray Cyrus,7.8,4500
RB,Spiller C.J.,7.7,7900
RB,Morris Alfred,7.7,7600
RB,Sankey Bishop,7.5,5900
RB,Gerhart Toby,7.3,5500
