position, player, projection, salary
QB,Manning Eli,33.1,6900
QB,"Luck, Andrew",30.62,9800
QB,"Rodgers, Aaron",28.88,9500
QB,"Rivers, Philip",27.08,8400
QB,"Stafford, Matthew",26.52,8600
QB,"Flacco, Joe",25.38,7100
QB,"Romo, Tony",24.48,7500
QB,"Bridgewater, Teddy",23.38,5900
QB,"Smith, Alex",22.72,7000
QB,"Roethlisberger, Ben",22.36,7700
QB,"Ryan, Matt",22.12,8700
QB,"Tannehill, Ryan",21.62,6700
QB,"Kaepernick, Colin",21.52,8100
QB,"Brees, Drew",21.2,9200
QB,"Cutler, Jay",19.14,8100
QB,"Glennon, Mike",19.08,5500
QB,"Manuel, E.J.",15.3,6600
QB,"Bortles, Blake",14.52,6500
QB,"Fitzpatrick, Ryan",14.12,6500
QB,"Whitehurst, Charlie",14.08,5000
QB,"Newton, Cam",12.58,8000
QB,"Smith, Geno",9.76,7400
QB,"Carr, Derek",9.74,5700
QB,"Cousins, Kirk",9.48,8100
QB,"McGloin, Matt",7.46,5000
QB,"Garoppolo, Jimmy",6.8,5000
QB,"Brady, Tom",6.36,7900
QB,"Foles, Nick",5.9,8300
QB,"Anderson, Derek",2.84,5800
QB,"Clausen, Jimmy",0.36,5000
QB,"Ponder, Christian",0.1,5400
QB,"McCown, Luke",0,5000
QB,"Nassib, Ryan",0,5000
QB,"Moore, Matt",-0.2,5000
QB,"Hasselbeck, Matt",-0.2,5000
QB,"Mettenberger, Zach",-0.32,5200
RB,"Charles, Jamaal",30.3,8300
RB,"Asiata, Matt",29.5,6300
RB,"Murray, DeMarco",28,9000
RB,"Gore, Frank",23.9,7200
RB,"Forte, Matt",19.6,8600
RB,"Richardson, Trent",17.9,6000
RB,"Miller, Lamar",17.7,6900
RB,"Forsett, Justin",17.2,5400
RB,"Morris, Alfred",16.5,7600
RB,"McKinnon, Jerick",15.7,4500
RB,"Bell, Le'Veon",13.9,8800
RB,"Johnson, Chris",13.1,6800
RB,"Sankey, Bishop",12.7,5700
RB,"Williams, Andre",12.6,4900
RB,"Martin, Doug",12.6,7000
RB,"Lacy, Eddie",12.4,8000
RB,"Davis, Knile",12.4,7800
RB,"Bradshaw, Ahmad",12.2,6100
RB,"Smith, Antone",12.2,5300
RB,"Taliaferro, Lorenzo",11.8,5300
RB,"Jackson, Fred",11.5,6300
RB,"Robinson, Khiry",11.5,4900
RB,"Helu, Roy",11.1,5100
RB,"Ivory, Chris",11,5800
RB,"Spiller, C.J.",9.9,7800
RB,"Foster, Arian",9.6,8400
RB,"Vereen, Shane",9.2,6200
RB,"McFadden, Darren",9.2,5700
RB,"Bush, Reggie",8.5,7400
RB,"Gerhart, Toby",8.5,5500
RB,"Oliver, Branden",7.6,4500
RB,"Sproles, Darren",7.6,6200
RB,"Brown, Donald",7.4,6300
RB,"Carey, Ka'Deem",7.2,4600
RB,"Jackson, Steven",7.2,6600
RB,"Cadet, Travaris",7,4500
RB,"DiMarco, Patrick",6.6,4800
RB,"Rodgers, Jacquizz",5.7,4700
RB,"Jennings, Rashad",5.7,7300
RB,"Reaves, Darrin",5.2,4500
RB,"White, James",5.1,4500
RB,"Bell, Joique",4.9,6500
RB,"Robinson, Denard",4.7,4600
RB,"Dunbar, Lance",4.6,4700
RB,"Blue, Alfred",3.5,5500
RB,"Todman, Jordan",3.4,4500
RB,"Williams, DeAngelo",3.4,5700
RB,"Thomas, Pierre",3.3,6400
RB,"Hillis, Peyton",3.1,4500
RB,"Freeman, Devonta",3,5000
RB,"Prosch, Jay",2.9,4500
RB,"Ridley, Stevan",2.8,6100
RB,"Hyde, Carlos",2.6,6000
RB,"Blount, LeGarrette",2.5,4600
RB,"Herron, Dan",2.4,4500
RB,"Williams, Damien",2.3,4500
RB,"Rainey, Bobby",2.3,5800
RB,"Randle, Joseph",2.2,4600
RB,"Juszczyk, Kyle",1.8,5200
RB,"McCoy, LeSean",1.7,8700
RB,"Young, Darrel",1.5,5000
RB,"Jones-Drew, Maurice",1.3,5600
RB,"Reece, Marcel",1,4600
RB,"Greene, Shonn",1,5000
RB,"Ta'ufo'ou, Will",0.9,4500
RB,"Summers, Frank",0.8,4500
RB,"Archer, Dri",0.6,4500
RB,"Darkwa, Orleans",0.2,4500
RB,"Riddick, Theo",0.2,4500
RB,"Lane, Jorvorskie",0.2,4500
RB,"Hynoski, Henry",0.1,4500
RB,"McCluster, Dexter",0.1,4500
WR,"Smith, Steve",29.4,6100
WR,"Brown, Antonio",29.28,8400
WR,"Nelson, Jordy",27.8,8300
WR,"Cobb, Randall",26.8,8100
WR,"Royal, Eddie",25,6100
WR,"Williams, Terrance",22.7,6100
WR,"Wayne, Reggie",21.4,6900
WR,"LaFell, Brandon",20.9,4500
WR,"Allen, Keenan",18.5,6700
WR,"Wright, Jarius",17.2,4500
WR,"Benjamin, Kelvin",16.1,6700
WR,"Holmes, Andre",15.9,4700
WR,"Tate, Golden",15.6,5500
WR,"Hester, Devin",15.5,6200
WR,"Williams, Mike",15.4,4500
WR,"White, Roddy",15.3,6900
WR,"Hopkins, DeAndre",14.9,6400
WR,"Evans, Mike",14.5,5900
WR,"Hilton, T.Y.",14,6600
WR,"Cruz, Victor",13.8,6900
WR,"Ross, Jeremy",13.5,4500
