position, player, projection, salary
QB,Ryan Matt,31.42,8100
QB,Stafford Matthew,30.04,9300
QB,Luck Andrew,28.7,9200
QB,Manning Peyton,22.46,10200
QB,Palmer Carson,21.06,6900
QB,Locker Jake,20.04,6600
QB,Cutler Jay,19.96,8000
QB,Wilson Russell,18.54,8100
QB,Roethlisberger Ben,18.4,7800
QB,Dalton Andy,18.34,7800
QB,Anderson Derek,18.2,5000
QB,Manuel E.J.,17.82,6500
QB,Flacco Joe,17.5,6600
QB,Henne Chad,17.44,5600
QB,Kaepernick Colin,17.14,8500
QB,Brees Drew,16.52,9700
QB,McCown Josh,16.02,6200
QB,Foles Nick,15.88,8500
QB,Cassel Matt,14.5,5400
QB,Carr Derek,13.94,5400
QB,Tannehill Ryan,13.92,6500
QB,Smith Geno,13.64,7000
QB,Rivers Philip,13.52,8100
QB,Fitzpatrick Ryan,13.24,6100
QB,Hoyer Brian,13,5600
QB,Smith Alex,12.68,6900
QB,Romo Tony,12.24,8300
QB,Rodgers Aaron,10.56,9600
QB,Brady Tom,10.26,9100
QB,Griffin III Robert,8.88,8400
QB,Manning Eli,8.52,6600
QB,Davis Austin,6.68,5000
QB,Hill Shaun,2.14,5000
QB,Yates T.J.,0,5000
QB,McCown Luke,0,5000
QB,Vick Michael,0,7600
RB,Bell Le'Veon,28.7,8300
RB,Lynch Marshawn,24.9,8800
RB,Forte Matt,20.9,9300
RB,Murray DeMarco,19.8,8800
RB,Moreno Knowshon,19.4,6100
RB,Ingram Mark,18.6,5200
RB,Jennings Rashad,17.6,6700
RB,Johnson Chris,17.6,6500
RB,Forsett Justin,16.9,4900
RB,Sproles Darren,16.5,5900
RB,Ivory Chris,16.2,5300
RB,Vereen Shane,15.6,6600
RB,Ball Montee,15.3,8000
RB,Crowell Isaiah,15.2,4500
RB,McCoy LeSean,14.5,9400
RB,Bernard Giovani,14,8000
RB,Spiller C.J.,13.9,7600
RB,Miller Lamar,13.8,6300
RB,Mathews Ryan,13,6800
RB,Smith Antone,12.6,4500
RB,Bell Joique,12.1,6800
RB,Thomas Pierre,11.9,6600
RB,Foster Arian,11,8800
RB,Bradshaw Ahmad,11,5200
RB,Hyde Carlos,11,6200
RB,Peterson Adrian,10.3,9300
RB,Taylor Stepfan,10.1,4900
RB,Rodgers Jacquizz,10,4700
RB,West Terrance,10,5300
RB,Bush Reggie,9.4,7800
RB,Morris Alfred,9.1,7700
RB,Jackson Fred,8.9,5800
RB,Robinson Khiry,8.8,4800
RB,Ellington Andre,8.5,6800
RB,Coleman Derrick,8,4500
RB,Williams DeAngelo,7.2,5900
RB,Cunningham Benny,7.1,4600
RB,Greene Shonn,7.1,5100
RB,Helu Roy,7.1,300
RB,Rainey Bobby,7,4800
RB,Young Darrel,6.7,4500
RB,Gerhart Toby,6.7,6100
RB,Richardson Trent,6.6,6400
RB,Blount LeGarrette,6.6,4900
RB,Gore Frank,6.6,7200
RB,Kuhn John,6.2,4500
RB,Lacy Eddie,6,9000
RB,Dixon Anthony,6,4500
RB,Starks James,5.8,5300
RB,Jackson Steven,5.7,6900
RB,Stacy Zac,5.6,8300
RB,Charles Jamaal,5.4,9800
RB,Stewart Jonathan,5.2,4600
RB,McCluster Dexter,5.1,4700
RB,Washington Leon,4.4,4500
RB,Freeman Devonta,4.3,5700
RB,Tate Ben,4.1,400
RB,Ridley Stevan,3.8,6600
RB,Dwyer Jonathan,3.8,4900
RB,Dunbar Lance,3.6,4700
RB,Jones-Drew Maurice,3.3,6200
RB,Anderson C.J.,2.7,5200
RB,Tolbert Mike,2.7,4700
RB,Turbin Robert,2.7,4600
RB,McFadden Darren,2.6,6200
RB,Sankey Bishop,2.5,6600
RB,Martin Doug,2.1,8100
RB,Asiata Matt,2,4600
RB,Hill Jeremy,1.9,5400
RB,Bolden Brandon,1.7,5000
RB,Woodhead Danny,1.6,5700
RB,Robinson Denard,1.6,4500
RB,Todman Jordan,1.6,4700
RB,Hughes Robert,1.2,4500
RB,Reece Marcel,1.1,4500
RB,Davis Knile,1.1,4700
RB,Cadet Travaris,1,4500
RB,Summers Frank,0.9,4500
RB,Williams Andre,0.9,5000
RB,Harris DuJuan,0.7,4500
RB,Gray Cyrus,0.5,4500
