position, player, projection, salary,week
QB,Rodgers Aaron,28.64,9700,2
QB,Cutler Jay,25.54,7900,2
QB,Rivers Philip,25.06,8100,2
QB,Manning Peyton,21.58,9100,2
QB,Luck Andrew,19.88,9200,2
QB,Newton Cam,19.14,8400,2
QB,McCown Josh,18.76,6300,2
QB,Smith Geno,18.64,6800,2
QB,Foles Nick,18.44,6400,2
QB,Carr Derek,18.32,6300,2
QB,Cousins Kirk,17.9,6000,2
QB,Wilson Russell,17.88,8800,2
QB,Manning Eli,17.58,8300,2
QB,Brees Drew,16.78,8900,2
QB,Kaepernick Colin,15.52,7900,2
QB,Stafford Matthew,15.44,7800,2
QB,Flacco Joe,14.94,8200,2
QB,Dalton Andy,14.68,7100,2
QB,Smith Alex,14.4,6600,2
QB,Tannehill Ryan,13.74,8000,2
QB,Fitzpatrick Ryan,13.56,6800,2
QB,Ryan Matt,13.04,8800,2
QB,Manuel E.J.,12.68,6400,2
QB,Henne Chad,12.42,6100,2
QB,Locker Jake,12.26,7400,2
QB,Hoyer Brian,12.16,6500,2
QB,Romo Tony,11.04,8700,2
QB,Brady Tom,9.96,8500,2
QB,Cassel Matt,9.68,6600,2
QB,Davis Austin,9.4,5600,2
QB,Roethlisberger Ben,7.68,7800,2
QB,Stanton Drew,6.48,5400,2
QB,Griffin III Robert,3.72,7300,2
RB,Sproles Darren,27.3,5800,2
RB,Davis Knile,25.5,6000,2
RB,Bernard Giovani,25.4,7200,2
RB,Bradshaw Ahmad,24.1,5200,2
RB,Foster Arian,22,9000,2
RB,Murray DeMarco,21.8,8500,2
RB,Morris Alfred,20.5,7400,2
RB,Rainey Bobby,18.9,5000,2
RB,McCoy LeSean,18.2,8400,2
RB,Ingram Mark,17.9,7800,2
RB,Asiata Matt,16.9,5100,2
RB,Hill Jeremy,16.6,8600,2
RB,Ridley Stevan,16.1,5600,2
RB,West Terrance,16,5500,2
RB,Gore Frank,14.5,7500,2
RB,Lynch Marshawn,14.3,8600,2
RB,Spiller C.J.,14.3,6300,2
RB,McFadden Darren,13.8,6600,2
RB,Bell Le'Veon,13.2,8900,2
RB,Stewart Jonathan,12.4,7100,2
RB,Turbin Robert,11.2,4900,2
RB,Ivory Chris,11.1,6400,2
RB,Stacy Zac,11.1,5000,2
RB,Jennings Rashad,10.9,6600,2
RB,Pierce Bernard,10.8,4700,2
RB,Bell Joique,10.7,6500,2
RB,Ellington Andre,10.6,7900,2
RB,Ball Montee,10.4,5700,2
RB,Redd Silas,10.1,4500,2
RB,Young Darrel,9.7,4500,2
RB,Forsett Justin,9.2,7800,2
RB,Dwyer Jonathan,9.1,5400,2
RB,Richardson Trent,8,5200,2
